code;canonical;country;state;city;name
GIL;GIL;USA;TX ;FREDERICKSBURG;GILLESPIE COUNTY FAIRGROUND
GLD;GLD;USA;MI ;FRUITPORT;GREAT LAKES DOWNS
GLN;GLN;USA;MD ;GLYNDON;GLYNDON
GN ;GN ;USA;MD ;BUTLER;GRAND NATIONAL
GP ;GP ;USA;FL ;HALLANDALE;GULFSTREAM PARK
GPR;GPR;CAN;AB ;GRANDE PRAIRIE;GRANDE PRAIRIE
GPW;CRC;USA;FL ;MIAMI;GULFSTREAM PARK WEST
GRD;GRD;CAN;ON ;REXDALE;GREENWOOD
GRM;GRM;USA;VA ;THE PLAINS;GREAT MEADOW
GRP;GRP;USA;OR ;GRANTS PASS;GRANTS PASS
GS ;GS ;USA;NJ ;CHERRY HILL;GARDEN STATE PARK
GV ;GV ;USA;NY ;GENESEO;GENESEE VALLEY
HAP;HAP;USA;WA ;ELMA;HARBOR PARK
HAW;HAW;USA;IL ;STICKNEY;HAWTHORNE
HCF;HCF;USA;NV ;WINNEMUCCA;HUMBOLDT COUNTY FAIR
HIA;HIA;USA;FL ;HIALEAH;HIALEAH PARK
HLN;HLN;USA;MT ;HELENA;HELENA DOWNS
HOL;HOL;USA;CA ;INGLEWOOD;HOLLYWOOD PARK
HOO;HOO;USA;IN ;ANDERSON;HOOSIER PARK
HOU;HOU;USA;TX ;HOUSTON;SAM HOUSTON RACE PARK
HP ;HP ;USA;MI ;HAZEL PARK;HAZEL PARK
HPO;HPO;USA;NE ;OMAHA;HORSEMEN'S PARK
HST;HST;CAN;BC ;VANCOUVER;HASTINGS RACECOURSE
IND;IND;USA;IN ;SHELBYVILLE;INDIANA GRAND RACE COURSE
JND;JND;USA;LA ;KENNER;JEFFERSON DOWNS
JRM;JRM;USA;ID ;JEROME;JEROME COUNTY FAIR
KAM;KAM;CAN;BC ;KAMLOOPS;KAMLOOPS
KD ;DUE;USA;KY ;FRANKLIN;KENTUCKY DOWNS
KEE;KEE;USA;KY ;LEXINGTON;KEENELAND
KIN;KIN;CAN;BC ;VERNON;KIN PARK
KLF;KLF;USA;OR ;KLAMATH FALLS;KLAMATH COUNTY FAIR
KSP;KSP;USA;MT ;KALISPELL;KALISPELL
LA ;LA ;USA;CA ;LOS ALAMITOS;LOS ALAMITOS
LAD;LAD;USA;LA ;BOSSIER CITY;LOUISIANA DOWNS
LAM;LAM;USA;NM ;RATON;LA MESA PARK
LBG;LBG;CAN;AB ;LETHBRIDGE;LETHBRIDGE
LBT;LBT;USA;UT ;SOUTH JORDAN;LAUREL BROWN RACETRACK
LEV;LEV;USA;FL ;DADE CITY;LITTLE EVERGLADES
LEX;LEX;USA;KY ;LEXINGTON;LEXINGTON
LGA;LGA;USA;WA ;SEATTLE;LONGACRES
LNN;LNN;USA;NE ;LINCOLN;LINCOLN RACE COURSE
LRC;LRC;USA;CA ;LOS ALAMITOS;LOS ALAMITOS RACE COURSE
LRL;LRL;USA;MD ;LAUREL;LAUREL PARK
LS ;LS ;USA;TX ;GRAND PRAIRIE;LONE STAR PARK
MAF;MAF;USA;MT ;SHELBY;MARIAS FAIR
MAL;MAL;USA;PA ;MALVERN;MALVERN
MAN;MAN;USA;TX ;MANOR;MANOR DOWNS
MAR;MAR;USA;MD ;UPPER MARLBORO;MARLBORO
MAS;MAS;USA;OH ;MASON-DIXON;MASON-DIXON
MC ;MC ;USA;MT ;MILES CITY;MILES CITY
MD ;MD ;CAN;SK ;SASKATOON;MARQUIS DOWNS
MDA;MDA;CAN;SK ;MELVILLE;MELVILLE DISTRICT AGRIPAR
MED;MED;USA;NJ ;EAST RUTHERFORD;MEADOWLANDS
MEP;MEP;USA;MT ;BILLINGS;METRAPARK
MF ;MF ;USA;MA ;MARSHFIELD;MARSHFIELD FAIR
MGO;MGO;USA;VA ;NEW KENT;MARENGO PLANTATION
MID;MID;USA;VA ;MIDDLEBURG;GLENWOOD PARK AT MIDDLEBURG
MIL;MIL;CAN;AB ;MILLARVILLE;MILLARVILLE
MLO;MLO;CAN;AB ;MILO;MILO RACE TRACK
MNR;MNR;USA;WV ;CHESTER;MOUNTAINEER CASINO RACETRACK & RESORT
MOF;MOF;USA;AZ ;KINGMAN;MOHAVE COUNTY FAIR
MON;MON;USA;MD ;MONKTON;MONKTON
MOR;MOR;USA;VA ;LEESBURG;MORVEN PARK
MPM;MPM;USA;MI ;MT. PLEASANT;MT. PLEASANT MEADOWS
MS ;MS ;USA;NC ;MILL SPRING;MILL SPRING
MTH;MTH;USA;NJ ;OCEANPORT;MONMOUTH PARK
MTP;MTP;USA;VA ;MONTPELIER STATION;MONTPELIER
MVR;MVR;USA;OH ;YOUNGSTOWN;MAHONING VALLEY RACE COURSE
NMP;NMP;USA;MA ;NORTHAMPTON;NORTHAMPTON
NP ;NP ;CAN;AB ;EDMONTON;NORTHLANDS PARK
NS0;NS0;USA;KY ;FRANKLIN;KENTUCKY DOWNS NSA
NVD;NVD;USA;MI ;NORTHVILLE;NORTHVILLE DOWNS
OKR;OKR;USA;VA ;LYNCHBURG;OAK RIDGE
ONE;ONE;USA;ID ;MALAD CITY;ONEIDA COUNTY FAIR
OP ;OP ;USA;AR ;HOT SPRINGS;OAKLAWN PARK
OSA;SA ;USA;CA ;ARCADIA;OAK TREE AT SANTA ANITA
OTC;OTC;USA;FL ;OCALA;OCALA TRAINING CENTER
OTH;HOL;USA;CA ;INGLEWOOD;OAK TREE AT HOLLYWOOD PARK
OTP;PLN;USA;CA ;PLEASANTON;OAK TREE AT PLEASANTON
OXM;OXM;USA;KY ;LOUISVILLE;OXMOOR
